Simulation_ID,OFV,OFV_REF,NSE,snw_dth,snw_dth_ref,snw_att,snw_att_ref,snw_pmf,snw_pmf_ref,snw_amf,snw_amf_ref,sl0_dth,sl0_dth_ref,sl0_pwp,sl0_pwp_ref,sl0_fcy,sl0_fcy_ref,sl0_bt0,sl0_bt0_ref,urr_dth,urr_dth_ref,lrr_dth,lrr_dth_ref,urr_wsr,urr_wsr_ref,urr_ulc,urr_ulc_ref,urr_tdh,urr_tdh_ref,urr_tdr,urr_tdr_ref,urr_ndr,urr_ndr_ref,urr_uct,urr_uct_ref,lrr_dre,lrr_dre_ref,lrr_lct,lrr_lct_ref
10,0.10691978372329014,0.10800511093078158,0.8929573995333802,0.0,0.0,-0.006589784082489336,-0.005571,0.47756697246993296,0.521145,0.05488349752475408,0.046251,93.59171967540755,99.167578,591.9413004100212,576.30908,159.7303896086459,164.676837,2.6943252917004528,2.953878,0.8074149169182547,2.363494,1.5475742368651666,0.304237,0.9901071841751428,0.996199,0.1871102377221825,0.176932,27.539350538562672,30.970124,0.526445383931778,0.182238,2.836658296034855e-07,3e-06,5.304682519702286e-05,3.8e-05,0.008879004189166706,0.009186,2.4658606750938006e-06,0.0
11,0.11145569680243983,0.11230321390075249,0.8884080496037683,0.0,0.0,-0.005888891659358242,-0.005571,0.4578819785801471,0.521145,0.05728792453086129,0.046251,94.15212628614879,99.167578,661.1350185447075,576.30908,160.0464699089216,164.676837,2.799245675824775,2.953878,2.4438440725813626,2.363494,0.7571625614168838,0.304237,0.9961978050589394,0.996199,0.18726630928356236,0.176932,98.22679898881081,30.970124,0.3293267939271185,0.182238,2.6179631395895075e-05,3e-06,1.206981216517189e-05,3.8e-05,0.00900638284586136,0.009186,6.56306211932467e-07,0.0
12,0.11103093110574658,0.1115687343310865,0.8889222993803878,0.0,0.0,-0.006843868285645538,-0.005571,0.47404066315082805,0.521145,0.054949828680318724,0.046251,99.35678049131918,99.167578,625.202606491337,576.30908,165.20752229593532,164.676837,2.8590494070641372,2.953878,1.5178900189405145,2.363494,1.0336983853287975,0.304237,0.9866118592314072,0.996199,0.1833757986063526,0.176932,54.27522834333012,30.970124,0.3410662364231122,0.182238,1.201402337352997e-05,3e-06,7.304017346504432e-05,3.8e-05,0.009046360866413361,0.009186,9.070204031180751e-07,0.0
13,0.10629745875464358,0.10730009653851524,0.8934970697675683,0.0,0.0,-0.006170744081697599,-0.005571,0.5020151890611938,0.521145,0.05328462164421488,0.046251,98.5270073567077,99.167578,595.600258852705,576.30908,165.2946079221973,164.676837,2.8121563303152324,2.953878,0.366579739933945,2.363494,2.421367920286741,0.304237,0.9811013346198665,0.996199,0.18358739092030174,0.176932,18.36301763669897,30.970124,0.7358904586349632,0.182238,2.736927498103725e-05,3e-06,2.8435445560304196e-05,3.8e-05,0.008825424025242834,0.009186,8.700818903695229e-07,0.0
14,0.10530054717265525,0.11477249956982061,0.8945865269165033,0.0,0.0,-0.006720631277277844,-0.005571,0.41457908822908296,0.521145,0.017673083946737833,0.046251,88.80526769135156,99.167578,651.9143971987914,576.30908,145.27368965596304,164.676837,2.7790061665803036,2.953878,0.8892744530689978,2.363494,1.4185886247740669,0.304237,0.9848913712393235,0.996199,0.13004905001081657,0.176932,73.81129994324348,30.970124,0.3586611938143406,0.182238,5.991353179635173e-06,3e-06,0.010982382251050637,3.8e-05,0.011028544680740549,0.009186,3.543090787305747e-05,0.0
15,0.11144499296939969,0.11098805756200802,0.8884218059034774,0.0,0.0,0.007231122882744412,-0.005571,0.45063841463385046,0.521145,0.062373092964809196,0.046251,99.1378094731898,99.167578,695.7199484894584,576.30908,165.22497010900352,164.676837,2.865359472756852,2.953878,1.0604506014956758,2.363494,1.1767584320471869,0.304237,0.9929041750287444,0.996199,0.1881156795421841,0.176932,109.68088345280174,30.970124,0.09246965773016119,0.182238,7.136437330856893e-06,3e-06,8.213864722761421e-05,3.8e-05,0.00888400609697687,0.009186,1.4379166102251872e-06,0.0
16,0.1135079077581469,0.11388073956501266,0.8862675617036793,0.0,0.0,-0.00685483305931478,-0.005571,0.5051208482311321,0.521145,0.051297487817886456,0.046251,99.659880970263,99.167578,643.7350271792475,576.30908,165.45584647320922,164.676837,2.8524217406318106,2.953878,0.035753124434506844,2.363494,2.641160542575996,0.304237,0.9693765271167423,0.996199,0.18481272754289352,0.176932,146.96563029429146,30.970124,0.8404599314642967,0.182238,2.3680298427142255e-06,3e-06,3.457226268838154e-05,3.8e-05,0.008936537804709987,0.009186,1.5513589191051835e-07,0.0
17,0.10985880297855233,0.1112626226942206,0.8898203452374902,0.0,0.0,-0.006564151290076481,-0.005571,0.45287654599895677,0.521145,0.060706306840589974,0.046251,98.78859416379662,99.167578,537.2275360249314,576.30908,164.9394630779422,164.676837,2.8790625614769785,2.953878,1.3479712049145185,2.363494,1.1918918674896872,0.304237,0.9998264287182164,0.996199,0.18779008534666702,0.176932,155.42480164714476,30.970124,0.7227841231563981,0.182238,1.5092146770534498e-05,3e-06,3.740812655350645e-05,3.8e-05,0.008833625158557401,0.009186,6.150583253983211e-06,0.0
18,0.12153686714931933,0.11452105905868415,0.8782693779233643,0.0,0.0,0.38266440963334825,-0.005571,0.6707447064162247,0.521145,0.06349332203019209,0.046251,85.06526908171716,99.167578,637.8089317735937,576.30908,145.7006688363313,164.676837,2.4406690290507247,2.953878,0.6369075452377277,2.363494,2.0575080482947143,0.304237,0.9928416080401604,0.996199,0.18359216353828173,0.176932,74.54068731111909,30.970124,0.6068179811850927,0.182238,2.866529785672256e-05,3e-06,3.2016362676134946e-05,3.8e-05,0.007673982467168383,0.009186,5.977233105136648e-07,0.0
19,0.10875749869211104,0.11563467947821238,0.8911587695775662,0.0,0.0,-0.006770826356225168,-0.005571,0.415987389959934,0.521145,0.01775169785560049,0.046251,68.24739887034224,99.167578,392.3758243158237,576.30908,126.20298482704607,164.676837,2.331437723688425,2.953878,1.404640552495863,2.363494,0.7573315438974788,0.304237,0.9909743119775377,0.996199,0.1335444467793906,0.176932,126.37516593808846,30.970124,0.43583632971168546,0.182238,1.2144841380568039e-05,3e-06,0.008618051472312871,3.8e-05,0.010957077344500743,0.009186,0.00019430977414131023,0.0
20,0.12026191559127175,0.11267520100746453,0.8795337910448449,0.0,0.0,0.5167609523873674,-0.005571,0.8193026115024096,0.521145,0.06780030929264846,0.046251,67.67798177840224,99.167578,612.1402182981049,576.30908,126.8555758618021,164.676837,2.0881235205261053,2.953878,1.71176495589037,2.363494,1.0897386883784677,0.304237,0.9736160922399412,0.996199,0.1733089312679037,0.176932,121.36596770651235,30.970124,0.6340068834329095,0.182238,2.055306185544392e-05,3e-06,0.00011932839593842282,3.8e-05,0.007381064624837785,0.009186,1.7675884724233093e-06,0.0
21,0.10594454989103264,0.10685361152595496,0.8938896741485448,0.0,0.0,-0.007054300492495225,-0.005571,0.48615287567944176,0.521145,0.051193098453859776,0.046251,96.32137717376503,99.167578,553.339961616381,576.30908,162.32195024717802,164.676837,2.7764059192896524,2.953878,1.453422683424515,2.363494,1.1604537756702697,0.304237,0.9833281236831335,0.996199,0.18718015773831675,0.176932,100.22194952186105,30.970124,0.2512945857774479,0.182238,1.549911097958878e-05,3e-06,2.566098778333803e-05,3.8e-05,0.008907329359263971,0.009186,2.361743289824858e-07,0.0
22,0.111310009559902,0.11200150026129796,0.8885382643813574,0.0,0.0,-0.007236426579150912,-0.005571,0.5007968069736362,0.521145,0.05020624235138982,0.046251,94.70912986282755,99.167578,473.86488666552947,576.30908,161.0597365682907,164.676837,2.759237026706151,2.953878,2.168217027025026,2.363494,0.8455038478068886,0.304237,0.9860255344474392,0.996199,0.17545564570298378,0.176932,119.61078207932323,30.970124,0.06955080127366942,0.182238,4.218722354587534e-05,3e-06,6.5720322034446e-07,3.8e-05,0.008942340265144122,0.009186,2.3583667518867202e-07,0.0
23,0.10855042858180608,0.10915041508978995,0.8910081048673956,0.0,0.0,-0.006819688838607618,-0.005571,0.4603798672367665,0.521145,0.05789449112481293,0.046251,96.90196110873254,99.167578,362.5214352057921,576.30908,162.36370614514664,164.676837,2.8756685566960885,2.953878,1.1992057914922043,2.363494,2.0214418416242594,0.304237,0.9840786612738741,0.996199,0.18982299582290252,0.176932,124.19569965545101,30.970124,0.5230055749310325,0.182238,3.9152485604820875e-05,3e-06,0.0001328600896816634,3.8e-05,0.009025860652411732,0.009186,9.437034709791625e-07,0.0
24,0.11258675810781504,0.11354388542042582,0.8872588799339605,0.0,0.0,-0.006435455825467118,-0.005571,0.48015207909787927,0.521145,0.056675048663813676,0.046251,99.86763587338748,99.167578,642.9101592416869,576.30908,166.7582279076045,164.676837,2.8865246320866067,2.953878,2.4865337873377555,2.363494,0.22709059599462478,0.304237,0.9944135399889767,0.996199,0.180425125825744,0.176932,163.96324288304203,30.970124,0.18439495631813885,0.182238,1.440180234624222e-06,3e-06,2.9656733357197318e-05,3.8e-05,0.008869940520098707,0.009186,1.0858589515883033e-06,0.0
